Rank,Pokemon,Usage %,Raw,%,Real,%
157,Chesnaught,0.06822%,1619,1.354%,1199,1.284%
158,Tornadus,0.06379%,109,0.091%,89,0.095%
159,Uxie,0.06296%,627,0.524%,547,0.586%
160,Feraligatr,0.06171%,1096,0.916%,812,0.870%
161,Celebi,0.06165%,555,0.464%,446,0.478%
162,Walrein,0.06080%,173,0.145%,140,0.150%
163,Rotom-Mow,0.05808%,277,0.232%,214,0.229%
164,Lanturn,0.05662%,451,0.377%,349,0.374%
165,Forretress,0.05648%,2169,1.814%,1905,2.040%
166,Typhlosion,0.05570%,832,0.696%,648,0.694%
167,Entei,0.05440%,548,0.458%,414,0.443%
168,Durant,0.05146%,325,0.272%,257,0.275%
169,Blastoise,0.04831%,784,0.656%,638,0.683%
170,Heracross,0.04778%,982,0.821%,677,0.725%
171,Ludicolo,0.04493%,583,0.487%,456,0.488%
172,Pikachu,0.04426%,587,0.491%,464,0.497%
173,Drifblim,0.04400%,291,0.243%,230,0.246%
174,Abomasnow-Mega,0.04379%,517,0.432%,378,0.405%
175,Cradily,0.04146%,525,0.439%,411,0.440%
176,Froslass,0.04112%,726,0.607%,609,0.652%
177,Houndoom-Mega,0.03991%,713,0.596%,524,0.561%
178,Miltank,0.03639%,363,0.304%,297,0.318%
179,Sableye,0.03352%,1627,1.360%,1384,1.482%
180,Hitmontop,0.03248%,723,0.605%,582,0.623%
181,Doublade,0.02993%,682,0.570%,524,0.561%
182,Jolteon,0.02903%,1564,1.308%,1303,1.395%
183,Honchkrow,0.02861%,741,0.620%,575,0.616%
184,Smeargle,0.02797%,634,0.530%,583,0.624%
185,Cobalion,0.02725%,312,0.261%,273,0.292%
186,Delphox,0.02697%,710,0.594%,546,0.585%
187,Avalugg,0.02645%,474,0.396%,348,0.373%
188,Eelektross,0.02550%,599,0.501%,450,0.482%
189,Exploud,0.02523%,212,0.177%,170,0.182%
190,Nidoqueen,0.02393%,331,0.277%,267,0.286%
191,Steelix-Mega,0.02344%,411,0.344%,328,0.351%
192,Vespiquen,0.02116%,61,0.051%,44,0.047%
193,Emboar,0.02110%,342,0.286%,290,0.311%
194,Swellow,0.02091%,430,0.360%,317,0.339%
195,Flygon,0.02058%,525,0.439%,422,0.452%
196,Scrafty,0.02021%,433,0.362%,328,0.351%
197,Pangoro,0.01957%,332,0.278%,238,0.255%
198,Roserade,0.01916%,1245,1.041%,950,1.017%
199,Dusknoir,0.01859%,404,0.338%,332,0.356%
200,Slaking,0.01794%,412,0.345%,347,0.372%
201,Weezing,0.01605%,370,0.309%,313,0.335%
202,Vivillon,0.01306%,425,0.355%,330,0.353%
203,Bastiodon,0.01291%,104,0.087%,76,0.081%
204,Dustox,0.01212%,113,0.094%,80,0.086%
205,Aurorus,0.01071%,617,0.516%,515,0.552%
206,Gorebyss,0.01004%,51,0.043%,41,0.044%
207,Banette-Mega,0.01000%,622,0.520%,502,0.538%
208,Gourgeist,0.00981%,202,0.169%,189,0.202%
209,Gigalith,0.00960%,174,0.145%,144,0.154%
210,Kecleon,0.00910%,67,0.056%,56,0.060%
211,Stunfisk,0.00890%,166,0.139%,142,0.152%
212,Torkoal,0.00882%,285,0.238%,220,0.236%
213,Heliolisk,0.00840%,722,0.604%,570,0.610%
214,Samurott,0.00776%,269,0.225%,212,0.227%
215,Shedinja,0.00731%,594,0.497%,374,0.401%
216,Ambipom,0.00704%,646,0.540%,563,0.603%
217,Scyther,0.00633%,229,0.191%,177,0.190%
218,Cottonee,0.00625%,124,0.104%,84,0.090%
219,Gligar,0.00597%,157,0.131%,128,0.137%
220,Leavanny,0.00582%,120,0.100%,97,0.104%
221,Togetic,0.00574%,53,0.044%,40,0.043%
222,Aggron,0.00573%,670,0.560%,505,0.541%
223,Braviary,0.00511%,219,0.183%,158,0.169%
224,Noivern,0.00477%,937,0.783%,751,0.804%
225,Diancie,0.00474%,268,0.224%,207,0.222%
226,Gallade,0.00462%,559,0.467%,414,0.443%
227,Tauros,0.00456%,280,0.234%,193,0.207%
228,Abomasnow,0.00442%,155,0.130%,122,0.131%
229,Manectric,0.00413%,241,0.202%,206,0.221%
230,Barbaracle,0.00405%,237,0.198%,170,0.182%
231,Liepard,0.00403%,342,0.286%,303,0.324%
232,Sigilyph,0.00379%,224,0.187%,179,0.192%
233,Florges,0.00368%,887,0.742%,694,0.743%
234,Whiscash,0.00352%,44,0.037%,35,0.037%
235,Aron,0.00352%,595,0.498%,469,0.502%
236,Zoroark,0.00352%,1214,1.015%,589,0.631%
237,Glaceon,0.00334%,269,0.225%,215,0.230%
238,Clawitzer,0.00332%,417,0.349%,346,0.371%
239,Exeggutor,0.00332%,318,0.266%,250,0.268%
240,Meowstic,0.00330%,328,0.274%,286,0.306%
241,Malamar,0.00330%,518,0.433%,426,0.456%
242,Victreebel,0.00319%,226,0.189%,150,0.161%
243,Lickilicky,0.00316%,263,0.220%,195,0.209%
244,Primeape,0.00307%,170,0.142%,127,0.136%
245,Absol,0.00307%,196,0.164%,156,0.167%
246,Raichu,0.00306%,539,0.451%,427,0.457%
247,Sawk,0.00306%,49,0.041%,32,0.034%
248,Klinklang,0.00306%,218,0.182%,135,0.145%
249,Yanmega,0.00234%,274,0.229%,195,0.209%
250,Meganium,0.00219%,142,0.119%,118,0.126%
251,Registeel,0.00202%,146,0.122%,122,0.131%
252,Nosepass,0.00201%,72,0.060%,57,0.061%
253,Porygon-Z,0.00179%,970,0.811%,782,0.837%
254,Magmortar,0.00174%,206,0.172%,151,0.162%
255,Jynx,0.00164%,211,0.176%,184,0.197%
256,Kingler,0.00164%,76,0.064%,57,0.061%
257,Pyroar,0.00162%,115,0.096%,86,0.092%
258,Poliwrath,0.00161%,264,0.221%,214,0.229%
259,Parasect,0.00150%,29,0.024%,23,0.025%
260,Simisage,0.00148%,51,0.043%,39,0.042%
261,Lunatone,0.00148%,8,0.007%,7,0.007%
262,Medicham,0.00143%,310,0.259%,236,0.253%
263,Spinda,0.00139%,77,0.064%,66,0.071%
264,Qwilfish,0.00137%,114,0.095%,105,0.112%
265,Meloetta,0.00135%,255,0.213%,186,0.199%
266,Linoone,0.00128%,161,0.135%,113,0.121%
267,Stoutland,0.00115%,118,0.099%,88,0.094%
268,Spiritomb,0.00105%,321,0.268%,257,0.275%
269,Golem,0.00099%,320,0.268%,283,0.303%
270,Golurk,0.00096%,243,0.203%,188,0.201%
271,Drapion,0.00094%,484,0.405%,388,0.415%
272,Piloswine,0.00081%,57,0.048%,51,0.055%
273,Shiftry,0.00079%,84,0.070%,65,0.070%
274,Frogadier,0.00071%,29,0.024%,23,0.025%
275,Sceptile,0.00070%,603,0.504%,438,0.469%
276,Gourgeist-Super,0.00069%,298,0.249%,246,0.263%
277,Dusclops,0.00067%,691,0.578%,572,0.613%
278,Pelipper,0.00065%,107,0.089%,89,0.095%
279,Zangoose,0.00064%,226,0.189%,181,0.194%
280,Rhydon,0.00059%,128,0.107%,115,0.123%
281,Regice,0.00054%,84,0.070%,68,0.073%
282,Rampardos,0.00054%,237,0.198%,167,0.179%
283,Regirock,0.00053%,144,0.120%,131,0.140%
284,Claydol,0.00052%,215,0.180%,177,0.190%
285,Dugtrio,0.00050%,288,0.241%,215,0.230%
286,Audino-Mega,0.00050%,178,0.149%,138,0.148%
287,Electivire,0.00049%,943,0.789%,724,0.775%
288,Armaldo,0.00047%,274,0.229%,201,0.215%
289,Carbink,0.00042%,49,0.041%,46,0.049%
290,Gurdurr,0.00041%,40,0.033%,33,0.035%
291,Druddigon,0.00039%,286,0.239%,230,0.246%
292,Moltres,0.00038%,124,0.104%,86,0.092%
293,Regigigas,0.00036%,107,0.089%,80,0.086%
294,Floatzel,0.00035%,225,0.188%,168,0.180%
295,Trevenant,0.00034%,469,0.392%,378,0.405%
296,Sawsbuck,0.00030%,112,0.094%,79,0.085%
297,Dragonair,0.00028%,28,0.023%,23,0.025%
298,Hitmonlee,0.00028%,528,0.442%,397,0.425%
299,Accelgor,0.00027%,193,0.161%,165,0.177%
300,Pineco,0.00024%,67,0.056%,65,0.070%
301,Tropius,0.00023%,54,0.045%,43,0.046%
302,Vigoroth,0.00023%,83,0.069%,69,0.074%
303,Lumineon,0.00023%,30,0.025%,22,0.024%
304,Mismagius,0.00021%,291,0.243%,240,0.257%
305,Torterra,0.00020%,404,0.338%,324,0.347%
306,Chatot,0.00019%,137,0.115%,121,0.130%
307,Simisear,0.00017%,8,0.007%,5,0.005%
308,Simipour,0.00017%,42,0.035%,29,0.031%
309,Gothitelle,0.00017%,101,0.084%,79,0.085%
310,Unfezant,0.00016%,128,0.107%,96,0.103%
311,Basculin,0.00016%,34,0.028%,26,0.028%
312,Chimecho,0.00016%,10,0.008%,7,0.007%
313,Kadabra,0.00016%,16,0.013%,12,0.013%
314,Purugly,0.00016%,36,0.030%,27,0.029%
315,Pidgeot,0.00015%,55,0.046%,43,0.046%
316,Vanilluxe,0.00015%,96,0.080%,65,0.070%
317,Crustle,0.00014%,84,0.070%,75,0.080%
318,Ninjask,0.00013%,173,0.145%,146,0.156%
319,Mudkip,0.00012%,10,0.008%,9,0.010%
320,Cinccino,0.00010%,537,0.449%,379,0.406%
321,Luxray,0.00010%,184,0.154%,138,0.148%
322,Girafarig,0.00009%,40,0.033%,21,0.022%
323,Virizion,0.00008%,59,0.049%,48,0.051%
324,Carracosta,0.00008%,95,0.079%,73,0.078%
325,Hitmonchan,0.00008%,89,0.074%,69,0.074%
326,Steelix,0.00007%,303,0.253%,262,0.281%
327,Combusken,0.00007%,93,0.078%,62,0.066%
328,Lopunny,0.00007%,89,0.074%,67,0.072%
329,Wobbuffet,0.00007%,139,0.116%,114,0.122%
330,Rotom-Frost,0.00006%,51,0.043%,46,0.049%
331,Glalie-Mega,0.00005%,332,0.278%,280,0.300%
332,Raticate,0.00005%,114,0.095%,81,0.087%
333,Mightyena,0.00005%,71,0.059%,58,0.062%
334,Altaria,0.00005%,189,0.158%,147,0.157%
335,Vileplume,0.00005%,121,0.101%,90,0.096%
336,Rattata,0.00005%,375,0.314%,327,0.350%
337,Leafeon,0.00004%,341,0.285%,262,0.281%
338,Hippopotas,0.00004%,18,0.015%,17,0.018%
339,Magnemite,0.00004%,67,0.056%,39,0.042%
340,Natu,0.00004%,5,0.004%,4,0.004%
341,Mawile,0.00004%,119,0.100%,97,0.104%
342,Cryogonal,0.00004%,69,0.058%,40,0.043%
343,Machoke,0.00004%,8,0.007%,3,0.003%
344,Marowak,0.00004%,83,0.069%,66,0.071%
345,Bibarel,0.00003%,42,0.035%,32,0.034%
346,Bidoof,0.00003%,35,0.029%,30,0.032%
347,Gourgeist-Large,0.00003%,49,0.041%,35,0.037%
348,Pachirisu,0.00003%,62,0.052%,45,0.048%
349,Starly,0.00002%,27,0.023%,21,0.022%
350,Swalot,0.00002%,40,0.033%,30,0.032%
351,Magmar,0.00002%,79,0.066%,71,0.076%
352,Articuno,0.00002%,157,0.131%,121,0.130%
