Rank,Pokemon,Usage %,Raw,%,Real,%
274,Gallade,0.00266%,231,0.320%,157,0.301%
275,Leafeon,0.00235%,98,0.136%,70,0.134%
276,Lurantis,0.00226%,149,0.207%,110,0.211%
277,Diancie,0.00223%,89,0.123%,66,0.127%
278,Krookodile,0.00222%,764,1.060%,637,1.223%
279,Qwilfish,0.00216%,23,0.032%,19,0.036%
280,Houndoom-Mega,0.00204%,135,0.187%,92,0.177%
281,Latios,0.00197%,340,0.472%,224,0.430%
282,Torkoal,0.00197%,135,0.187%,110,0.211%
283,Donphan,0.00179%,290,0.402%,249,0.478%
284,Wooper,0.00178%,47,0.065%,38,0.073%
285,Trevenant,0.00173%,134,0.186%,96,0.184%
286,Bewear,0.00168%,164,0.228%,110,0.211%
287,Shaymin,0.00156%,85,0.118%,57,0.109%
288,Blastoise-Mega,0.00155%,419,0.581%,316,0.607%
289,Golisopod,0.00148%,332,0.461%,275,0.528%
290,Necrozma,0.00148%,76,0.105%,57,0.109%
291,Pineco,0.00145%,710,0.985%,656,1.260%
292,Arceus-Fighting,0.00143%,78,0.108%,51,0.098%
293,Kabutops,0.00135%,45,0.062%,34,0.065%
294,Flareon,0.00131%,68,0.094%,56,0.108%
295,Lanturn,0.00131%,69,0.096%,48,0.092%
296,Glaceon,0.00124%,80,0.111%,56,0.108%
297,Aggron,0.00122%,575,0.798%,449,0.862%
298,Dusclops,0.00120%,221,0.307%,186,0.357%
299,Zygarde-10%,0.00119%,201,0.279%,141,0.271%
300,Palossand,0.00111%,77,0.107%,66,0.127%
301,Magnemite,0.00105%,559,0.776%,323,0.620%
302,Manectric-Mega,0.00103%,256,0.355%,174,0.334%
303,Articuno,0.00099%,130,0.180%,103,0.198%
304,Froslass,0.00097%,356,0.494%,288,0.553%
305,Cobalion,0.00092%,172,0.239%,130,0.250%
306,Meloetta,0.00092%,280,0.388%,198,0.380%
307,Pelipper,0.00091%,544,0.755%,462,0.887%
308,Ninjask,0.00083%,124,0.172%,91,0.175%
309,Drapion,0.00081%,246,0.341%,185,0.355%
310,Weezing,0.00080%,48,0.067%,37,0.071%
311,Glalie-Mega,0.00077%,37,0.051%,25,0.048%
312,Yanmega,0.00076%,124,0.172%,100,0.192%
313,Primarina,0.00075%,540,0.749%,401,0.770%
314,Charizard,0.00074%,495,0.687%,388,0.745%
315,Arceus-Bug,0.00071%,34,0.047%,21,0.040%
316,Rotom-Mow,0.00071%,116,0.161%,84,0.161%
317,Sawk,0.00070%,111,0.154%,68,0.131%
318,Raichu-Alola,0.00067%,253,0.351%,184,0.353%
319,Decidueye,0.00064%,720,0.999%,555,1.066%
320,Liepard,0.00064%,143,0.198%,113,0.217%
321,Sceptile,0.00061%,442,0.613%,346,0.664%
322,Mudsdale,0.00059%,94,0.130%,74,0.142%
323,Raichu,0.00059%,238,0.330%,185,0.355%
324,Flygon,0.00054%,250,0.347%,207,0.397%
325,Regice,0.00049%,106,0.147%,66,0.127%
326,Golem-Alola,0.00047%,53,0.074%,34,0.065%
327,Scyther,0.00047%,82,0.114%,68,0.131%
328,Emboar,0.00047%,144,0.200%,93,0.179%
329,Zangoose,0.00046%,81,0.112%,55,0.106%
330,Taillow,0.00046%,383,0.531%,240,0.461%
331,Samurott,0.00044%,110,0.153%,89,0.171%
332,Nidoking,0.00044%,702,0.974%,545,1.046%
333,Nosepass,0.00043%,475,0.659%,305,0.586%
334,Hitmonchan,0.00042%,69,0.096%,52,0.100%
335,Archeops,0.00041%,230,0.319%,165,0.317%
336,Primeape,0.00040%,43,0.060%,34,0.065%
337,Bastiodon,0.00040%,70,0.097%,58,0.111%
338,Barbaracle,0.00039%,92,0.128%,65,0.125%
339,Gallade-Mega,0.00037%,586,0.813%,437,0.839%
340,Eevee,0.00035%,129,0.179%,92,0.177%
341,Marowak-Alola,0.00034%,232,0.322%,168,0.323%
342,Gligar,0.00033%,29,0.040%,24,0.046%
343,Durant,0.00033%,155,0.215%,140,0.269%
344,Chesnaught,0.00032%,250,0.347%,183,0.351%
345,Starly,0.00031%,29,0.040%,20,0.038%
346,Swinub,0.00031%,7,0.010%,5,0.010%
347,Jynx,0.00028%,14,0.019%,9,0.017%
348,Deoxys,0.00027%,159,0.221%,111,0.213%
349,Lopunny,0.00027%,72,0.100%,54,0.104%
350,Nidoqueen,0.00027%,123,0.171%,84,0.161%
351,Chatot,0.00027%,34,0.047%,27,0.052%
352,Kangaskhan,0.00027%,49,0.068%,39,0.075%
353,Dusknoir,0.00026%,109,0.151%,80,0.154%
354,Entei,0.00025%,110,0.153%,80,0.154%
355,Mantine,0.00024%,127,0.176%,82,0.157%
356,Scrafty,0.00024%,157,0.218%,127,0.244%
357,Tapu Bulu,0.00023%,355,0.493%,242,0.465%
358,Houndoom,0.00023%,112,0.155%,78,0.150%
359,Empoleon,0.00022%,420,0.583%,310,0.595%
360,Hippopotas,0.00022%,108,0.150%,68,0.131%
361,Lycanroc-Midnight,0.00022%,204,0.283%,154,0.296%
362,Wynaut,0.00021%,40,0.055%,31,0.060%
363,Lapras,0.00020%,378,0.524%,292,0.561%
364,Darmanitan,0.00020%,427,0.592%,316,0.607%
365,Comfey,0.00019%,77,0.107%,56,0.108%
366,Pyroar,0.00019%,64,0.089%,47,0.090%
367,Lilligant,0.00019%,80,0.111%,68,0.131%
368,Pidgeot-Mega,0.00018%,121,0.168%,95,0.182%
369,Exeggutor-Alola,0.00018%,59,0.082%,45,0.086%
370,Carracosta,0.00016%,47,0.065%,42,0.081%
371,Accelgor,0.00016%,89,0.123%,70,0.134%
372,Oshawott,0.00015%,19,0.026%,17,0.033%
373,Marowak,0.00015%,22,0.031%,17,0.033%
374,Silvally-Steel,0.00015%,21,0.029%,17,0.033%
375,Poipole,0.00014%,4,0.006%,2,0.004%
376,Heracross-Mega,0.00013%,322,0.447%,239,0.459%
377,Cofagrigus,0.00012%,220,0.305%,192,0.369%
378,Moltres,0.00012%,87,0.121%,62,0.119%
379,Golduck,0.00011%,187,0.259%,131,0.252%
380,Mr. Mime,0.00011%,38,0.053%,31,0.060%
381,Persian-Alola,0.00011%,31,0.043%,26,0.050%
382,Eelektross,0.00011%,281,0.390%,233,0.447%
383,Rotom-Fan,0.00010%,40,0.055%,32,0.061%
384,Lycanroc,0.00009%,190,0.264%,152,0.292%
385,Clawitzer,0.00009%,111,0.154%,86,0.165%
386,Turtonator,0.00009%,80,0.111%,71,0.136%
387,Ampharos,0.00008%,59,0.082%,50,0.096%
388,Raikou,0.00007%,80,0.111%,61,0.117%
389,Meganium,0.00007%,43,0.060%,41,0.079%
390,Araquanid,0.00006%,163,0.226%,122,0.234%
391,Gastly,0.00006%,163,0.226%,103,0.198%
392,Whiscash,0.00006%,17,0.024%,13,0.025%
393,Absol,0.00006%,157,0.218%,120,0.230%
394,Tornadus,0.00006%,27,0.037%,21,0.040%
395,Toxicroak,0.00005%,254,0.352%,206,0.396%
396,Kommo-o-Totem,0.00005%,9,0.012%,8,0.015%
397,Type: Null,0.00005%,17,0.024%,13,0.025%
398,Suicune,0.00004%,147,0.204%,104,0.200%
399,Glalie,0.00004%,126,0.175%,122,0.234%
400,Sandslash-Alola,0.00004%,74,0.103%,57,0.109%
401,Sigilyph,0.00004%,53,0.074%,44,0.084%
402,Reuniclus,0.00004%,170,0.236%,127,0.244%
403,Floatzel,0.00003%,80,0.111%,55,0.106%
404,Guzzlord,0.00003%,77,0.107%,56,0.108%
405,Dunsparce,0.00003%,49,0.068%,39,0.075%
406,Ariados,0.00003%,74,0.103%,71,0.136%
407,Sandslash,0.00003%,29,0.040%,23,0.044%
408,Venomoth,0.00003%,91,0.126%,75,0.144%
409,Unfezant,0.00003%,69,0.096%,39,0.075%
410,Deerling,0.00003%,4,0.006%,4,0.008%
411,Emolga,0.00002%,23,0.032%,17,0.033%
412,Minior,0.00002%,246,0.341%,174,0.334%
413,Pangoro,0.00002%,59,0.082%,50,0.096%
414,Tropius,0.00002%,50,0.069%,31,0.060%
415,Golbat,0.00002%,24,0.033%,15,0.029%
416,Sharpedo,0.00002%,98,0.136%,80,0.154%
417,Mismagius,0.00002%,119,0.165%,84,0.161%
418,Torterra,0.00001%,249,0.345%,206,0.396%
419,Doduo,0.00001%,19,0.026%,10,0.019%
420,Conkeldurr,0.00001%,226,0.314%,147,0.282%
421,Gigalith,0.00001%,81,0.112%,78,0.150%
422,Mankey,0.00001%,4,0.006%,2,0.004%
423,Registeel,0.00001%,73,0.101%,56,0.108%
424,Gible,0.00001%,6,0.008%,5,0.010%
425,Zebstrika,0.00000%,79,0.110%,55,0.106%
426,Rattata-Alola,0.00000%,116,0.161%,77,0.148%
427,Azelf,0.00000%,151,0.209%,117,0.225%
428,Regirock,0.00000%,36,0.050%,23,0.044%
429,Poliwrath,0.00000%,93,0.129%,71,0.136%
430,Mightyena,0.00000%,52,0.072%,39,0.075%
431,Komala,0.00000%,92,0.128%,76,0.146%
432,Dedenne,0.00000%,44,0.061%,33,0.063%
433,Pidgey,0.00000%,2,0.003%,2,0.004%
434,Gothorita,0.00000%,14,0.019%,7,0.013%
435,Regigigas,0.00000%,61,0.085%,53,0.102%
436,Cacturne,0.00000%,108,0.150%,79,0.152%
437,Drifblim,0.00000%,66,0.092%,51,0.098%
438,Ivysaur,0.00000%,25,0.035%,21,0.040%
439,Aipom,0.00000%,19,0.026%,7,0.013%
440,Haunter,0.00000%,63,0.087%,44,0.084%
441,Cradily,0.00000%,301,0.418%,211,0.405%
442,Archen,0.00000%,24,0.033%,6,0.012%
443,Corphish,0.00000%,8,0.011%,3,0.006%
444,Riolu,0.00000%,31,0.043%,22,0.042%
445,Kecleon,0.00000%,45,0.062%,33,0.063%
446,Silvally-Fighting,0.00000%,12,0.017%,7,0.013%
447,Toucannon,0.00000%,62,0.086%,44,0.084%
448,Spinda,0.00000%,26,0.036%,21,0.040%
449,Swadloon,0.00000%,4,0.006%,4,0.008%
450,Claydol,0.00000%,167,0.232%,141,0.271%
451,Victreebel,0.00000%,54,0.075%,36,0.069%
452,Miltank,0.00000%,61,0.085%,42,0.081%
453,Jellicent,0.00000%,70,0.097%,49,0.094%
454,Terrakion,0.00000%,72,0.100%,42,0.081%
455,Lillipup,0.00000%,7,0.010%,5,0.010%
456,Stunfisk,0.00000%,9,0.012%,8,0.015%
457,Ursaring,0.00000%,97,0.135%,88,0.169%
458,Slowking,0.00000%,120,0.166%,87,0.167%
459,Rampardos,0.00000%,82,0.114%,66,0.127%
460,Noctowl,0.00000%,22,0.031%,18,0.035%
461,Dwebble,0.00000%,15,0.021%,14,0.027%
