Rank,Pokemon,Usage %,Raw,%,Real,%
229,Kabutops,0.00000%,4,0.300%,2,0.193%
230,Walrein,0.00000%,3,0.225%,2,0.193%
231,Monferno,0.00000%,4,0.300%,4,0.385%
232,Vigoroth,0.00000%,1,0.075%,1,0.096%
233,Wailord,0.00000%,4,0.300%,4,0.385%
234,Masquerain,0.00000%,2,0.150%,2,0.193%
235,Luvdisc,0.00000%,1,0.075%,1,0.096%
236,Cottonee,0.00000%,1,0.075%,1,0.096%
237,Kangaskhan,0.00000%,5,0.375%,4,0.385%
238,Simisear,0.00000%,2,0.150%,2,0.193%
239,Rotom-Fan,0.00000%,2,0.150%,1,0.096%
240,Kingler,0.00000%,5,0.375%,4,0.385%
241,Pignite,0.00000%,1,0.075%,1,0.096%
242,Camerupt-Mega,0.00000%,3,0.225%,1,0.096%
243,Audino-Mega,0.00000%,1,0.075%,1,0.096%
244,Ursaring,0.00000%,2,0.150%,2,0.193%
245,Haunter,0.00000%,10,0.750%,6,0.578%
246,Magcargo,0.00000%,3,0.225%,3,0.289%
247,Whiscash,0.00000%,1,0.075%,1,0.096%
248,Onix,0.00000%,1,0.075%,0,0.000%
249,Stunfisk,0.00000%,1,0.075%,1,0.096%
250,Elekid,0.00000%,1,0.075%,0,0.000%
251,Hypno,0.00000%,1,0.075%,1,0.096%
252,Machoke,0.00000%,1,0.075%,1,0.096%
253,Rotom-Mow,0.00000%,9,0.675%,6,0.578%
254,Tranquill,0.00000%,1,0.075%,1,0.096%
255,Vanilluxe,0.00000%,2,0.150%,2,0.193%
256,Fennekin,0.00000%,1,0.075%,1,0.096%
257,Blastoise,0.00000%,10,0.750%,7,0.674%
258,Garbodor,0.00000%,3,0.225%,3,0.289%
259,Victreebel,0.00000%,3,0.225%,3,0.289%
260,Furret,0.00000%,3,0.225%,3,0.289%
261,Solosis,0.00000%,1,0.075%,1,0.096%
262,Gurdurr,0.00000%,2,0.150%,2,0.193%
263,Cradily,0.00000%,7,0.525%,5,0.482%
264,Pidgeot,0.00000%,2,0.150%,1,0.096%
265,Bibarel,0.00000%,2,0.150%,1,0.096%
266,Medicham,0.00000%,2,0.150%,2,0.193%
267,Pancham,0.00000%,1,0.075%,1,0.096%
268,Pichu,0.00000%,1,0.075%,1,0.096%
269,Porygon,0.00000%,3,0.225%,3,0.289%
270,Seviper,0.00000%,1,0.075%,0,0.000%
271,Lairon,0.00000%,1,0.075%,1,0.096%
272,Abomasnow-Mega,0.00000%,19,1.424%,13,1.253%
273,Aromatisse,0.00000%,1,0.075%,1,0.096%
274,Snivy,0.00000%,1,0.075%,1,0.096%
275,Dodrio,0.00000%,1,0.075%,1,0.096%
276,Gourgeist-Super,0.00000%,2,0.150%,2,0.193%
277,Bastiodon,0.00000%,6,0.450%,6,0.578%
278,Vespiquen,0.00000%,2,0.150%,2,0.193%
279,Unfezant,0.00000%,1,0.075%,0,0.000%
280,Eevee,0.00000%,4,0.300%,2,0.193%
281,Carbink,0.00000%,2,0.150%,1,0.096%
282,Togepi,0.00000%,1,0.075%,0,0.000%
283,Flygon,0.00000%,11,0.825%,7,0.674%
284,Magby,0.00000%,1,0.075%,0,0.000%
285,Smeargle,0.00000%,3,0.225%,3,0.289%
286,Natu,0.00000%,1,0.075%,1,0.096%
287,Gigalith,0.00000%,1,0.075%,1,0.096%
288,Stantler,0.00000%,1,0.075%,1,0.096%
289,Magnemite,0.00000%,2,0.150%,2,0.193%
290,Trevenant,0.00000%,26,1.949%,17,1.638%
291,Octillery,0.00000%,4,0.300%,4,0.385%
292,Electabuzz,0.00000%,1,0.075%,1,0.096%
293,Kricketune,0.00000%,3,0.225%,3,0.289%
294,Miltank,0.00000%,6,0.450%,5,0.482%
295,Linoone,0.00000%,3,0.225%,1,0.096%
296,Accelgor,0.00000%,5,0.375%,4,0.385%
297,Togetic,0.00000%,5,0.375%,3,0.289%
298,Hoopa,0.00000%,6,0.450%,5,0.482%
299,Tropius,0.00000%,6,0.450%,4,0.385%
300,Seaking,0.00000%,1,0.075%,1,0.096%
301,Crustle,0.00000%,4,0.300%,3,0.289%
302,Kecleon,0.00000%,1,0.075%,1,0.096%
303,Luxray,0.00000%,11,0.825%,6,0.578%
304,Sigilyph,0.00000%,11,0.825%,8,0.771%
305,Jellicent,0.00000%,5,0.375%,2,0.193%
306,Simipour,0.00000%,1,0.075%,1,0.096%
307,Ludicolo,0.00000%,2,0.150%,1,0.096%
308,Claydol,0.00000%,1,0.075%,0,0.000%
309,Clawitzer,0.00000%,5,0.375%,0,0.000%
310,Gogoat,0.00000%,1,0.075%,1,0.096%
311,Sudowoodo,0.00000%,1,0.075%,1,0.096%
312,Malamar,0.00000%,3,0.225%,3,0.289%
313,Regice,0.00000%,1,0.075%,0,0.000%
314,Chatot,0.00000%,1,0.075%,0,0.000%
315,Bouffalant,0.00000%,2,0.150%,2,0.193%
316,Shaymin,0.00000%,2,0.150%,1,0.096%
317,Vileplume,0.00000%,3,0.225%,3,0.289%
318,Clefairy,0.00000%,4,0.300%,3,0.289%
319,Camerupt,0.00000%,1,0.075%,1,0.096%
320,Magmar,0.00000%,1,0.075%,1,0.096%
321,Meganium,0.00000%,3,0.225%,2,0.193%
322,Huntail,0.00000%,1,0.075%,1,0.096%
323,Probopass,0.00000%,1,0.075%,1,0.096%
324,Druddigon,0.00000%,3,0.225%,2,0.193%
325,Simisage,0.00000%,1,0.075%,1,0.096%
326,Quagsire,0.00000%,7,0.525%,5,0.482%
