Rank,Pokemon,Usage %,Raw,%,Real,%
209,Vulpix,0.01224%,103,0.077%,79,0.073%
210,Butterfree,0.01005%,694,0.516%,551,0.508%
211,Silvally-Fire,0.00919%,320,0.238%,261,0.241%
212,Bellossom,0.00753%,233,0.173%,180,0.166%
213,Vullaby,0.00745%,41,0.030%,33,0.030%
214,Mareanie,0.00717%,22,0.016%,20,0.018%
215,Lopunny,0.00676%,335,0.249%,283,0.261%
216,Fletchinder,0.00674%,41,0.030%,32,0.029%
217,Type: Null,0.00626%,305,0.227%,251,0.231%
218,Carkol,0.00626%,72,0.054%,62,0.057%
219,Sudowoodo,0.00562%,278,0.207%,249,0.230%
220,Solrock,0.00549%,63,0.047%,53,0.049%
221,Bronzor,0.00505%,15,0.011%,14,0.013%
222,Seaking,0.00461%,97,0.072%,71,0.065%
223,Wobbuffet,0.00440%,67,0.050%,57,0.053%
224,Morgrem,0.00438%,79,0.059%,69,0.064%
225,Cherrim,0.00370%,123,0.091%,89,0.082%
226,Whiscash,0.00307%,82,0.061%,69,0.064%
227,Stonjourner,0.00300%,262,0.195%,201,0.185%
228,Delibird,0.00252%,65,0.048%,49,0.045%
229,Manectric,0.00237%,182,0.135%,135,0.124%
230,Cottonee,0.00181%,61,0.045%,55,0.051%
231,Gothitelle,0.00168%,159,0.118%,118,0.109%
232,Zweilous,0.00150%,52,0.039%,37,0.034%
233,Lilligant,0.00139%,296,0.220%,211,0.195%
234,Grapploct,0.00138%,328,0.244%,266,0.245%
235,Gloom,0.00113%,52,0.039%,36,0.033%
236,Onix,0.00096%,96,0.071%,83,0.077%
237,Porygon,0.00089%,43,0.032%,30,0.028%
238,Gourgeist-Large,0.00083%,59,0.044%,51,0.047%
239,Dottler,0.00059%,24,0.018%,21,0.019%
240,Palpitoad,0.00055%,63,0.047%,56,0.052%
241,Roggenrola,0.00045%,55,0.041%,37,0.034%
242,Emolga,0.00045%,198,0.147%,161,0.148%
243,Scorbunny,0.00038%,3,0.002%,3,0.003%
244,Corsola,0.00034%,45,0.033%,43,0.040%
245,Joltik,0.00033%,9,0.007%,6,0.006%
246,Wailord,0.00032%,127,0.094%,104,0.096%
247,Cosmoem,0.00030%,18,0.013%,15,0.014%
248,Dunsparce,0.00028%,132,0.098%,100,0.092%
249,Swirlix,0.00024%,176,0.131%,174,0.160%
250,Shelmet,0.00022%,3,0.002%,3,0.003%
251,Riolu,0.00022%,37,0.028%,32,0.029%
252,Vulpix-Alola,0.00022%,17,0.013%,17,0.016%
253,Pupitar,0.00021%,7,0.005%,6,0.006%
254,Mienfoo,0.00020%,10,0.007%,7,0.006%
255,Glalie,0.00017%,51,0.038%,50,0.046%
